entity,algorithm,axis,level,rho_full,jac5,jac10
Astacus astacus,xgboost,lowacc,10,0.6272897858075678,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,10,0.6569883707595283,0.42857142857142855,0.42857142857142855
Astacus astacus,xgboost,lowacc,10,0.6676162490405575,0.6666666666666666,0.3333333333333333
Astacus astacus,xgboost,lowacc,10,0.5936457219730087,0.42857142857142855,0.25
Astacus astacus,xgboost,lowacc,10,0.6124287176087827,0.6666666666666666,0.42857142857142855
Astacus astacus,xgboost,lowacc,10,0.5948435235533065,0.25,0.3333333333333333
Astacus astacus,xgboost,lowacc,10,0.6295958247023776,0.42857142857142855,0.42857142857142855
Astacus astacus,xgboost,lowacc,10,0.6089037777092263,0.42857142857142855,0.25
Astacus astacus,xgboost,lowacc,10,0.5651666198906612,0.42857142857142855,0.25
Astacus astacus,xgboost,lowacc,10,0.6460270138784915,0.6666666666666666,0.42857142857142855
Astacus astacus,xgboost,lowacc,10,0.5994188750190172,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,10,0.6653841296289217,0.25,0.3333333333333333
Astacus astacus,xgboost,lowacc,10,0.679034440803935,0.25,0.3333333333333333
Astacus astacus,xgboost,lowacc,10,0.5817902991206324,0.6666666666666666,0.25
Astacus astacus,xgboost,lowacc,10,0.5769251897281263,0.25,0.3333333333333333
Astacus astacus,xgboost,lowacc,10,0.6149994114142315,0.6666666666666666,0.5384615384615384
Astacus astacus,xgboost,lowacc,10,0.6440040145009371,0.25,0.3333333333333333
Astacus astacus,xgboost,lowacc,10,0.6729439266942644,0.25,0.42857142857142855
Astacus astacus,xgboost,lowacc,10,0.6157694556918971,0.42857142857142855,0.5384615384615384
Astacus astacus,xgboost,lowacc,10,0.6524152701311873,0.25,0.3333333333333333
Astacus astacus,xgboost,lowacc,10,0.670959050328977,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,10,0.5970871093027735,0.42857142857142855,0.25
Astacus astacus,xgboost,lowacc,20,0.6289036255789362,0.25,0.25
Astacus astacus,xgboost,lowacc,20,0.6033370977556111,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,20,0.6284662483649466,0.25,0.42857142857142855
Astacus astacus,xgboost,lowacc,20,0.6477398303111659,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,20,0.5966728344040149,0.42857142857142855,0.42857142857142855
Astacus astacus,xgboost,lowacc,20,0.6396153403320842,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,20,0.6265933333380852,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,20,0.6218999184176427,0.1111111111111111,0.25
Astacus astacus,xgboost,lowacc,20,0.6283895001039219,0.25,0.3333333333333333
Astacus astacus,xgboost,lowacc,20,0.6199300239616161,0.25,0.42857142857142855
Astacus astacus,xgboost,lowacc,20,0.6492081843929779,0.25,0.42857142857142855
Astacus astacus,xgboost,lowacc,20,0.6009596559164881,0.1111111111111111,0.3333333333333333
